VERB, KANJI, TYPE, TRANSLATION
あける, 開ける, る, to open
よむ, 読む, う, to read
たべる, 食べる, る, to eat
かく, 書く, う, to write
みる, 見る, る, to see
はなす, 話す, う, to speak
きく, 聞く, う, to listen/to ask
のむ, 飲む, う, to drink
ねる, 寝る, る, to sleep
いく, 行く, irr, to go
かう, 買う, う, to buy
おきる, 起きる, る, to wake up
つかう, 使う, う, to use
あそぶ, 遊ぶ, う, to play
しぬ, 死ぬ, う, to die
わかる, 分かる, う, to understand
ある, 有る, う, to exist (inanimate)
いる, 居る, る, to exist (animate)
はいる, 入る, う, to enter
でる, 出る, る, to leave
かえる, 帰る, う, to return
つくる, 作る, う, to make
わすれる, 忘れる, る, to forget
おもう, 思う, う, to think
しる, 知る, う, to know
つける, 付ける, る, to turn on
けす, 消す, う, to turn off
もつ, 持つ, う, to hold
まつ, 待つ, う, to wait
はたらく, 働く, う, to work
あう, 会う, う, to meet
はじまる, 始まる, う, to begin
おわる, 終わる, う, to end
つかれる, 疲れる, る, to get tired
おしえる, 教える, る, to teach
まがる, 曲がる, う, to turn
とまる, 止まる, う, to stop
あげる, 上げる, る, to give
もらう, 貰う, う, to receive
うる, 売る, う, to sell
すわる, 座る, う, to sit
たつ, 立つ, う, to stand
あるく, 歩く, う, to walk
およぐ, 泳ぐ, う, to swim